Date,City,Temp_Max,Temp_Min,Temp_Avg,Humidity,Rainfall_mm,Wind_Speed_kmh,Weather_Condition,Season
2018-01-01,Hyderabad,25.2,14.3,19.2,66.9,0.3,5.9,Partly Cloudy,Winter
2018-01-01,Delhi,12.4,0.7,5.8,40.9,0.0,12.2,Cold,Winter
2018-01-01,Mumbai,30.6,20.5,24.0,69.7,0.0,13.1,Clear,Winter
2018-01-01,Bangalore,21.7,10.3,15.6,58.2,0.0,15.0,Cold,Winter
2018-01-01,Chennai,26.2,17.7,21.2,67.5,0.0,13.2,Clear,Winter
2018-01-01,Kolkata,25.6,17.2,20.5,86.4,0.0,9.3,Cloudy,Winter
2018-01-02,Hyderabad,26.4,15.5,21.0,48.2,0.0,11.6,Sunny,Winter
2018-01-02,Delhi,10.4,3.4,7.2,52.3,0.6,12.2,Cold,Winter
2018-01-02,Mumbai,29.5,20.4,24.0,78.1,0.0,8.3,Clear,Winter
2018-01-02,Bangalore,20.4,11.0,15.1,46.9,0.0,5.9,Cold,Winter
2018-01-02,Chennai,26.2,16.3,21.3,68.5,0.5,5.6,Partly Cloudy,Winter
2018-01-02,Kolkata,21.5,13.9,18.4,67.9,0.0,6.0,Clear,Winter
2018-01-03,Hyderabad,22.2,14.1,17.5,50.9,0.0,8.7,Partly Cloudy,Winter
2018-01-03,Delhi,15.7,6.7,10.0,50.9,0.0,10.3,Cold,Winter
2018-01-03,Mumbai,28.1,18.0,24.0,72.6,0.9,16.0,Sunny,Winter
2018-01-03,Bangalore,21.8,12.1,15.8,54.3,0.0,9.3,Partly Cloudy,Winter
2018-01-03,Chennai,24.8,13.2,18.8,65.1,0.0,17.2,Sunny,Winter
2018-01-03,Kolkata,24.6,16.9,20.3,65.5,0.0,5.1,Sunny,Winter
2018-01-04,Hyderabad,19.9,12.8,16.5,55.0,0.0,7.7,Clear,Winter
2018-01-04,Delhi,16.5,7.3,11.5,42.1,0.0,7.9,Cold,Winter
2018-01-04,Mumbai,27.9,19.6,24.0,67.1,0.0,15.6,Clear,Winter
2018-01-04,Bangalore,20.6,13.0,16.6,52.2,0.0,5.2,Partly Cloudy,Winter
2018-01-04,Chennai,24.6,13.8,18.9,78.6,0.0,17.7,Partly Cloudy,Winter
2018-01-04,Kolkata,20.9,12.6,17.7,83.8,0.0,5.7,Cloudy,Winter
2018-01-05,Hyderabad,26.4,16.4,21.0,69.6,0.0,17.6,Partly Cloudy,Winter
2018-01-05,Delhi,13.6,2.8,7.2,55.7,0.0,9.2,Cold,Winter
2018-01-05,Mumbai,27.2,19.9,24.0,83.0,0.3,15.6,Cloudy,Winter
2018-01-05,Bangalore,24.0,11.2,17.1,62.4,0.0,13.6,Cold,Winter
2018-01-05,Chennai,24.8,17.5,21.0,81.3,0.0,5.5,Cloudy,Winter
2018-01-05,Kolkata,23.0,13.8,18.6,71.0,0.0,10.1,Sunny,Winter
2018-01-06,Hyderabad,25.1,16.4,21.2,61.5,0.0,6.4,Partly Cloudy,Winter
2018-01-06,Delhi,19.3,8.8,13.2,55.5,0.0,7.0,Cold,Winter
2018-01-06,Mumbai,30.6,20.9,24.0,87.9,0.5,11.5,Cloudy,Winter
2018-01-06,Bangalore,17.7,7.7,12.4,50.4,0.0,12.8,Cold,Winter
2018-01-06,Chennai,26.6,17.3,21.9,81.4,0.0,7.9,Cloudy,Winter
2018-01-06,Kolkata,23.8,16.9,20.0,71.4,0.0,7.5,Sunny,Winter
2018-01-07,Hyderabad,25.3,14.2,18.8,66.6,0.1,16.5,Sunny,Winter
2018-01-07,Delhi,16.0,6.9,11.6,59.7,0.0,7.9,Cold,Winter
2018-01-07,Mumbai,29.3,19.3,24.0,78.5,0.0,8.8,Clear,Winter
2018-01-07,Bangalore,16.5,9.8,12.9,47.9,0.0,5.2,Cold,Winter
2018-01-07,Chennai,23.9,15.0,20.1,55.9,0.0,10.9,Partly Cloudy,Winter
2018-01-07,Kolkata,21.0,14.6,17.7,61.4,2.8,8.3,Clear,Winter
2018-01-08,Hyderabad,20.1,11.0,16.6,46.8,0.0,10.7,Cold,Winter
2018-01-08,Delhi,20.2,11.3,15.0,41.7,0.3,12.3,Cold,Winter
2018-01-08,Mumbai,28.0,19.9,24.0,72.1,6.5,14.1,Rainy,Winter
2018-01-08,Bangalore,16.8,8.1,12.4,62.9,0.0,12.1,Cold,Winter
2018-01-08,Chennai,25.0,16.6,21.2,56.2,0.5,11.6,Sunny,Winter
2018-01-08,Kolkata,24.2,15.5,19.5,61.9,0.0,10.3,Sunny,Winter
2018-01-09,Hyderabad,27.0,15.3,20.9,47.2,0.0,8.6,Clear,Winter
2018-01-09,Delhi,14.6,4.5,8.7,34.1,0.0,10.0,Cold,Winter
2018-01-09,Mumbai,27.9,19.4,24.0,79.6,0.0,13.4,Partly Cloudy,Winter
2018-01-09,Bangalore,19.4,10.5,15.8,72.4,0.0,9.5,Cold,Winter
2018-01-09,Chennai,30.3,18.0,23.7,67.0,0.0,17.4,Sunny,Winter
2018-01-09,Kolkata,26.4,17.0,21.6,67.1,0.0,6.1,Sunny,Winter
2018-01-10,Hyderabad,27.2,15.6,20.7,50.6,0.0,11.3,Partly Cloudy,Winter
2018-01-10,Delhi,16.7,6.5,10.6,39.7,0.0,7.9,Cold,Winter
2018-01-10,Mumbai,27.9,19.3,24.0,81.7,0.0,11.6,Cloudy,Winter
2018-01-10,Bangalore,22.2,12.4,16.9,71.9,0.0,5.5,Partly Cloudy,Winter
2018-01-10,Chennai,25.8,17.4,21.8,84.0,0.0,15.7,Cloudy,Winter
2018-01-10,Kolkata,27.5,16.2,21.6,77.2,0.0,9.0,Sunny,Winter
2018-01-11,Hyderabad,25.2,13.1,19.0,62.7,0.0,7.1,Sunny,Winter
2018-01-11,Delhi,18.5,8.0,13.2,56.3,0.0,5.8,Cold,Winter
