City_Year,Avg_Temp
Bangalore_2018,24.2
Bangalore_2019,23.93
Bangalore_2020,23.92
Bangalore_2021,23.95
Bangalore_2022,23.93
Bangalore_2023,23.98
Bangalore_2024,23.96
Bangalore_2025,23.84
Bangalore_2026,23.86
Chennai_2018,30.04
Chennai_2019,29.94
Chennai_2020,29.78
Chennai_2021,30.05
Chennai_2022,29.94
Chennai_2023,29.91
Chennai_2024,29.84
Chennai_2025,29.81
Chennai_2026,29.92
Delhi_2018,24.89
Delhi_2019,24.84
Delhi_2020,24.86
Delhi_2021,24.84
Delhi_2022,24.89
Delhi_2023,24.92
Delhi_2024,24.83
Delhi_2025,24.76
Delhi_2026,24.8
Hyderabad_2018,27.88
Hyderabad_2019,27.9
Hyderabad_2020,27.88
Hyderabad_2021,28.04
Hyderabad_2022,27.9
Hyderabad_2023,27.94
Hyderabad_2024,27.84
Hyderabad_2025,27.91
Hyderabad_2026,28.01
Kolkata_2018,27.84
Kolkata_2019,27.91
Kolkata_2020,27.8
Kolkata_2021,27.92
Kolkata_2022,27.83
Kolkata_2023,28.02
Kolkata_2024,27.88
Kolkata_2025,27.95
Kolkata_2026,27.79
Mumbai_2018,29.84
Mumbai_2019,29.93
Mumbai_2020,29.9
Mumbai_2021,29.96
Mumbai_2022,29.88
Mumbai_2023,29.92
Mumbai_2024,29.94
Mumbai_2025,29.93
Mumbai_2026,29.9
