City,Month,Rainfall_mm
Bangalore,1,61.3
Bangalore,2,51.1
Bangalore,3,62.7
Bangalore,4,52.5
Bangalore,5,60.5
Bangalore,6,6621.0
Bangalore,7,8015.3
Bangalore,8,7638.9
Bangalore,9,7080.8
Bangalore,10,737.0
Bangalore,11,773.4
Bangalore,12,62.5
Chennai,1,70.6
Chennai,2,58.6
Chennai,3,37.3
Chennai,4,53.7
Chennai,5,65.4
Chennai,6,8473.1
Chennai,7,7737.7
Chennai,8,8360.3
Chennai,9,6891.2
Chennai,10,811.0
Chennai,11,849.6
Chennai,12,64.0
Delhi,1,47.0
Delhi,2,49.9
Delhi,3,70.6
Delhi,4,73.6
Delhi,5,68.4
Delhi,6,5336.5
Delhi,7,5171.1
Delhi,8,5192.7
Delhi,9,5179.3
Delhi,10,778.0
Delhi,11,771.5
Delhi,12,68.0
Hyderabad,1,48.7
Hyderabad,2,49.3
Hyderabad,3,91.1
Hyderabad,4,48.2
Hyderabad,5,63.8
Hyderabad,6,5761.2
Hyderabad,7,5677.9
Hyderabad,8,7089.2
Hyderabad,9,5978.4
Hyderabad,10,836.5
Hyderabad,11,788.9
Hyderabad,12,55.7
Kolkata,1,106.60000000000001
Kolkata,2,53.5
Kolkata,3,54.5
Kolkata,4,68.9
Kolkata,5,59.7
Kolkata,6,7262.1
Kolkata,7,8651.4
Kolkata,8,9106.2
Kolkata,9,7880.9
Kolkata,10,870.3
Kolkata,11,831.5
Kolkata,12,64.0
Mumbai,1,77.0
Mumbai,2,55.8
Mumbai,3,44.1
Mumbai,4,72.9
Mumbai,5,57.0
Mumbai,6,8533.5
Mumbai,7,9289.4
Mumbai,8,8263.0
Mumbai,9,9073.0
Mumbai,10,828.0
Mumbai,11,855.1
Mumbai,12,67.7
